procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13803164  92740 1148464    0    0   121    22  269  406  2  2 96  0  0
 0  0      0 13796264  92740 1150140    0    0  1056   492  642 3964  1  1 98  0  0
 0  0      0 13787192  92740 1150152    0    0     0     0  224  872  0  1 99  0  0
 0  0      0 13776860  92740 1150056    0    0     0     0 5750 2735  1  1 98  0  0
 0  0      0 13766024  92740 1150136    0    0     0   288 5774 4374  2  2 96  0  0
 1  0      0 13755692  92740 1150124    0    0     0     0  219  893  0  0 99  0  0
 0  0      0 13745872  92740 1150192    0    0     0   256  486 3771  2  1 98  0  0
 0  0      0 13735792  92740 1150204    0    0     0     0  201  872  1  0 99  0  0
 0  0      0 13725460  92740 1150204    0    0     0     0  181  863  0  1 99  0  0
 0  0      0 13715128  92740 1150204    0    0     0     0  182  847  0  0 99  0  0
